source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,1189504,"WYETH LEDERLE, ITALY",TYZEL,"(tigecycline 50 mg) powder for solution for infusion, 1 vial","WYETH LEDERLE, ITALY",ACTIVE
TMT,466259,ที.โอ. เคมีคอลส์ (1979,TYZOCIN,"(กรุงเทพฯ)) (benzalkonium chloride 500 mcg + benzocaine 1 mg + tyrothricin 2 mg) lozenge, 1 lozenge",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,466271,ที.โอ. ฟาร์ม่า,TYZOCIN,"(benzalkonium chloride 500 mcg + benzocaine 1 mg + tyrothricin 2 mg) lozenge, 1 lozenge",ที.โอ. ฟาร์ม่า,ACTIVE
TMT,466292,สยามเภสัช,T-ZA,"(zidovudine 100 mg) capsule, hard, 1 capsule",สยามเภสัช,ACTIVE
TMT,466318,สยามเภสัช,T-ZA,"(zidovudine 250 mg) capsule, hard, 1 capsule",สยามเภสัช,ACTIVE
TMT,466339,ที.โอ. เคมีคอลส์ (1979,TZM,"(กรุงเทพฯ)) (pyrazinamide 500 mg) tablet, 1 tablet",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,1324593,ชุมชนเภสัชกรรม,U - SEMIDE,"(furosemide 500 mg) tablet, 1 tablet",ชุมชนเภสัชกรรม,ACTIVE
TMT,149982,"TAIHO PHARMACEUTICAL, JAPAN",U F T,"(tegafur 100 mg + uracil 224 mg) capsule, hard, 1 capsule","TAIHO PHARMACEUTICAL, JAPAN",ACTIVE
TMT,519183,"Y.S.P. INDUSTRIES, MALAYSIA",U.O.,"(urea 10 g/100 g) cream, 20 g tube","Y.S.P. INDUSTRIES, MALAYSIA",ACTIVE
TMT,466356,แสงไทยกำปะนี,U-A 100,"(allopurinol 100 mg) tablet, 1 tablet",แสงไทยกำปะนี,ACTIVE
TMT,466373,แสงไทยกำปะนี,U-A 300,"(allopurinol 300 mg) tablet, 1 tablet",แสงไทยกำปะนี,ACTIVE
TMT,466394,สหการโอสถ,U-AMOX,"(amoxicillin 250 mg) capsule, hard, 1 capsule",สหการโอสถ,ACTIVE
TMT,466413,สหการโอสถ,U-AMOX,"(amoxicillin 500 mg) capsule, hard, 1 capsule",สหการโอสถ,ACTIVE
TMT,466432,ยูโทเปี้ยน,U-AMOXY,"(amoxicillin 250 mg) capsule, hard, 1 capsule",ยูโทเปี้ยน,ACTIVE
TMT,466450,ยูโทเปี้ยน,U-AMOXY 250,"(amoxicillin 250 mg) capsule, hard, 1 capsule",ยูโทเปี้ยน,ACTIVE
TMT,541014,"3M ESPE, GERMANY",UBISTESIN,"(articaine 4 g/100 mL + epinephrine 600 mcg/100 mL) solution for injection, 1 mL cartridge","3M ESPE, GERMANY",ACTIVE
TMT,466497,"OTSUKA PHARMACEUTICAL, JAPAN",UBIT,"(urea 100 mg) film-coated tablet, 1 tablet","OTSUKA PHARMACEUTICAL, JAPAN",ACTIVE
TMT,519226,"OTSUKA PHARMACEUTICAL, JAPAN",UBIT,"(urea 100 mg) granules for oral solution, 2 g sachet","OTSUKA PHARMACEUTICAL, JAPAN",ACTIVE
TMT,466510,"OTSUKA PHARMACEUTICAL, JAPAN",UBIT,"(urea 100 mg) tablet, 1 tablet (invalid)","OTSUKA PHARMACEUTICAL, JAPAN",ACTIVE
TMT,684308,เอ็ม แอนด์ เอ็ช แมนูแฟคเจอริ่ง,UCHOLINE,"(bethanechol chloride 10 mg) tablet, 1 tablet",เอ็ม แอนด์ เอ็ช แมนูแฟคเจอริ่ง,ACTIVE
