source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TTMT,9401918,ฟ้าทะลายโจร,ฟ้าทะลายโจร,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9401925,เขียวหอม,ยาเขียวหอมชนิดแคปซูล ตราทีเอฟดี,ยาแคปซูล,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9401939,ธาตุอบเชย ,ยาธาตุอบเชย ทีเอฟดี   ,ยาน้ำ,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9401941,ลูกประคบสมุนไพร,ลูกประคบสมุนไพร ตราคลายน์,ยาประคบ,บริษัท พนาพัฒน์ เฮลท์แคร์ จำกัด,ACTIVE
TTMT,9401956,ตรีผลา / พิกัดตรีผลา ,ยาตรีผลา,ยาแคปซูล,บริษัท เฮิร์บไทยจง จำกัด,ACTIVE
TTMT,9401960,แก้ไอผสมฟ้าทะลายโจร,ยาแก้ไอผสมฟ้าทะลายโจร,ยาน้ำ,บริษัท แก้วมังกรเภสัช จำกัด,ACTIVE
TTMT,9401973,น้ำมันกัญชา,น้ำมันกัญชา (ตำรับหมอเดชา),ยาเข้าน้ำมัน,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9401987,แก้ลมแก้เส้น,ยาแก้ลมแก้เส้น,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9401994,แก้ลมแก้เส้น,ยาแก้ลมแก้เส้น,ยาผง,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9402004,ศุขไสยาศน์,ยาศุขไสยาศน์,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9402015,ศุขไสยาศน์,ยาศุขไสยาศน์,ยาผง,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9402027,ทำลายพระสุเมรุ,ยาทำลายพระสุเมรุ,ยาแคปซูล,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9402036,ทำลายพระสุเมรุ,ยาทำลายพระสุเมรุ,ยาผง,โรงพยาบาลสรรคบุรี,ACTIVE
TTMT,9402043,ศุขไสยาศน์,ยาศุขไสยาศน์,ยาแคปซูล,โรงพยาบาลท่าฉาง,ACTIVE
TTMT,9402058,ทำลายพระสุเมรุ,ยาทำลายพระสุเมรุ,ยาแคปซูล,โรงพยาบาลท่าฉาง,ACTIVE
TTMT,9402062,น้ำมันกัญชา,น้ำมันกัญชา (ตำรับหมอเดชา),ยาเข้าน้ำมัน,โรงพยาบาลท่าฉาง,ACTIVE
TTMT,9402070,ทัพยาธิคุณ,ยาทัพยาธิคุณแคปซูล,ยาแคปซูล,โรงพยาบาลท่าฉาง,ACTIVE
TTMT,9402089,น้ำมันกัญชา,น้ำมันกัญชา (ตำรับหมอเดชา),ยาเข้าน้ำมัน,โรงพยาบาลดอนตูม,ACTIVE
TTMT,9402091,สารสกัดจากฟ้าทะลายโจร,สารสกัดจากฟ้าทะลายโจร ตราไทยเฮิร์บ,ยาแคปซูล,บริษัท ผลิตภัณฑ์สมุนไพรไทย จำกัด,ACTIVE
TTMT,9402101,มะขามแขก,ยามะขามแขก,ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402117,ฟ้าทะลายโจร,ยาฟ้าทะลายโจร,ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402129,ขมิ้นชัน,ยาขมิ้นชัน,ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402138,สารสกัดจากฟ้าทะลายโจร,ยาบรรเทาอาการเจ็บคอ (ซีเคเอ็ม),ยาแคปซูล,บริษัท แซนด์ - เอ็ม โกลบอล จำกัด,ACTIVE
TTMT,9402140,แก้ไอมะขามป้อม (อภัยภูเบศร),ยาน้ำแก้ไอผสมมะขามป้อม ตราอภัยภูเบศร,ยาน้ำ,มูลนิธิ โรงพยาบาลเจ้าพระยาอภัยภูเบศร,ACTIVE
TTMT,9402155,เจลดองดึง,เจลพอกเข่าดองดึง,เจล,โรงพยาบาลป่าโมก,ACTIVE
